precio,ubicacion,habitaciones,baños,parqueaderos,area,descripcion,tipo_propiedad,ciudad_final,precio_por_m2
450000000,"ciudadela del , a.s.d., navarra",3.0,2.0,1.0,88.0,hermoso apartamento cuenta luminoso salóncomedor podrás disfrutar reuniones amigos familiares,Apartamento en venta,medellin,5113636.363636363
1300000000,"castropol, tesoro, simesa",4.0,4.0,2.0,150.0,,Apartamento en venta,desconocida,8666666.666666666
10200000,"candelaria, conquistadores, villanueva",3.0,4.0,3.0,200.0,,Apartamento en arriendo,bogota,51000.0
4300000,"candelaria, conquistadores, villanueva",2.0,4.0,3.0,88.0,excelente apartamento ubicado loma encierro facilidad acceso avenida palmas avenida poblado además cerca centro comercial premium plaza carulla palmas palms avenue palma grande,Apartamento en arriendo,medellin,48863.63636363636
5000000,"candelaria, conquistadores, villanueva",2.0,2.0,2.0,83.0,apartamento ubicado sector castropol lugar tranquilo seguro facilidad acceso debido buena ubicación facilidad acceso palmas ambos,Apartamento en arriendo,bogota,60240.96385542169
4100000,"castropol, simesa, poblado",3.0,2.0,3.0,78.0,apartamento excelente ubicación piso 15 buenos acabados cuenta 2 parqueaderos 1 cuarto útil admón incluida,Apartamento en arriendo,medellin,52564.10256410256
6000000,"candelaria, conquistadores, villanueva",3.0,4.0,3.0,148.0,apartamento ubicado sector san lucas cuenta facilidad acceso rutas servicio público además cerca complex superior supermercados vaquita mall san lucas club campestre mall drive in supermercados olímpica,Apartamento en arriendo,bogota,40540.54054054054
9800000,"candelaria, conquistadores, villanueva",3.0,4.0,3.0,200.0,area 200mt aproximadamente 3 alcobas alcoba servio baño 3 baños 1 cuaro util unidad completa parqueadero 2 lineal asensores picina zonas humendas cancha square turcosauna mil agradables juegos infantiles senderos ecologicos balcon amplio,Apartamento en arriendo,medellin,49000.0
9500000,"tesoro, alejandria, castropol",3.0,4.0,4.0,280.0,apartamento arriendo ubicado sector poblado loma parra 3 alcobas 3 baños 3 parqueaderos cubierto unidad cuenta,Apartamento en arriendo,medellin,33928.57142857143
9400000,"candelaria, conquistadores, villanueva",2.0,4.0,3.0,85.0,apartamento ubicado sector linares cuenta facilidad acceso rutas servicio público debido buena ubicación además cerca centro comercial oviedo complex superior centro comercial santa fe,Apartamento en arriendo,medellin,110588.23529411765
18000000,"alejandria, poblado, patio bonito",7.0,5.0,2.0,260.0,hermoso penthouse excelente ubicacion unidad cerrada 7 cuartos 5 baños 2 cuartos util 2 parqueaderos sala comedor terraza vista milla oro cuenta 260m codigo inmbuele,Apartamento en arriendo,medellin,69230.76923076923
10000000,"castropol, tesoro, alejandria",2.0,4.0,3.0,166.0,apartamento amoblado arriendo ubicado sector pobladocastropol 2 alcobas 3 baños parqueadero doble cubierto unidad cuenta,Apartamento en arriendo,medellin,60240.96385542169
6400000,"candelaria, conquistadores, villanueva",3.0,4.0,3.0,130.0,apartamento ubicado sector castropol lugar tranquilo seguro facilidad acceso debido buena ubicación usado buen facilidad acceso palmas ambos,Apartamento en arriendo,bogota,49230.769230769234
